country,region,continent
Dominican Republic,America: Caribbean,America
Algeria,Africa: Northern,Africa
Lebanon,Asia: Western,Asia
Fiji,Oceania: Melanesia,Oceania
Dominica,America: Caribbean,America
Maldives,Asia: Southern,Asia
Tunisia,Africa: Northern,Africa
St. Vincent & the Grenadines,America: Caribbean,America
Suriname,America: South,America
Mongolia,Asia: Eastern,Asia
Botswana,Africa: Southern,Africa
Jamaica,America: Caribbean,America
Jordan,Asia: Western,Asia
Paraguay,America: South,America
Tonga,Oceania: Polynesia,Oceania
Libya,Africa: Northern,Africa
Uzbekistan,Asia: Central,Asia
Bolivia,America: South,America
Indonesia,Asia: South-Eastern,Asia
Philippines,Asia: South-Eastern,Asia
Belize,America: Central,America
Samoa,Oceania: Polynesia,Oceania
Turkmenistan,Asia: Central,Asia
Venezuela,America: South,America
South Africa,Africa: Southern,Africa
Egypt,Africa: Northern,Africa
Vietnam,Asia: South-Eastern,Asia
Gabon,Africa: Middle,Africa
Kyrgyzstan,Asia: Central,Asia
Morocco,Africa: Northern,Africa
Guyana,America: South,America
Tuvalu,America: Caribbean,America
Iraq,Asia: Western,Asia
El Salvador,America: Central,America
Tajikistan,Asia: Central,Asia
Cabo Verde,Africa: Western,Africa
Guatemala,America: Central,America
Nicaragua,America: Central,America
Bhutan,Asia: Southern,Asia
Namibia,Africa: Southern,Africa
India,Asia: Southern,Asia
Honduras,America: Central,America
Bangladesh,Asia: Southern,Asia
Kiribati,Oceania: Micronesia,Oceania
Sao Tome & Principe,Africa: Middle,Africa
Micronesia,Oceania: Micronesia,Oceania
Laos,Asia: South-Eastern,Asia
Ghana,Africa: Western,Africa
Swaziland,Africa: Southern,Africa
Vanuatu,Oceania: Melanesia,Oceania
Timor-Leste,Asia: South-Eastern,Asia
Nepal,Asia: Southern,Asia
Kenya,Africa: Eastern,Africa
Cambodia,Asia: South-Eastern,Asia
Equatorial Guinea,Africa: Middle,Africa
Zambia,Africa: Eastern,Africa
Myanmar,Asia: South-Eastern,Asia
Angola,Africa: Middle,Africa
Zimbabwe,Africa: Eastern,Africa
Solomon Islands,Oceania: Melanesia,Oceania
Syria,Asia: Western,Asia
Cameroon,Africa: Middle,Africa
Pakistan,Asia: Southern,Asia
Papua New Guinea,Oceania: Melanesia,Oceania
Comoros,Africa: Eastern,Africa
Mauritania,Africa: Western,Africa
Benin,Africa: Western,Africa
Uganda,Africa: Eastern,Africa
Rwanda,Africa: Eastern,Africa
Nigeria,Africa: Western,Africa
Cote d'Ivoire,Africa: Western,Africa
Madagascar,Africa: Eastern,Africa
Lesotho,Africa: Southern,Africa
Djibouti,Africa: Eastern,Africa
Togo,Africa: Western,Africa
Senegal,Africa: Western,Africa
Afghanistan,Asia: Southern,Asia
Haiti,America: Caribbean,America
Sudan,Africa: Northern,Africa
Gambia,Africa: Western,Africa
Ethiopia,Africa: Eastern,Africa
Malawi,Africa: Eastern,Africa
Congo,Africa: Middle,Africa
Guinea-Bissau,Africa: Western,Africa
Liberia,Africa: Western,Africa
Guinea,Africa: Western,Africa
Yemen,Asia: Western,Asia
Eritrea,Africa: Eastern,Africa
Mozambique,Africa: Eastern,Africa
Burkina Faso,Africa: Western,Africa
Sierra Leone,Africa: Western,Africa
Mali,Africa: Western,Africa
Burundi,Africa: Eastern,Africa
Chad,Africa: Middle,Africa
Central African Republic,Africa: Middle,Africa
Niger,Africa: Western,Africa
Somalia,Africa: Eastern,Africa
